strain	location	time
$5000	0	0.0
4996	0	0.050677162340572394
4989	1	0.1460068195482581
4971	1	0.24452825448891835
4932	0	0.2946491131645989
4806	0	0.3630430818104305
4931	0	0.29473015263059116
4671	0	0.3958361990805791
4782	0	0.36937620428594636
4967	1	0.24893491167746226
4917	1	0.31205887317953385
4757	1	0.37572037683732973
4786	1	0.36795994786776137
4644	1	0.40042311670839587
4368	1	0.4396373620962487
4638	1	0.4016481891135971
3801	1	0.49610157776027225
695	0	0.6516071512809546
3029	1	0.5464297217691286
4582	1	0.41174244900225987
4010	0	0.47820452669683616
2155	0	0.5905401119860677
962	0	0.6427477952229277
1580	1	0.6175988586044626
2331	0	0.581653928567303
564	0	0.6554273094551903
1043	1	0.6393556425780356
4086	1	0.4718835335398903
2568	1	0.5692345425327019
843	1	0.6466715904477963
1193	1	0.6340633225571622
3380	1	0.5267037429070626
3233	1	0.535564254860475
2133	1	0.5914865731977592
1293	1	0.629733809908561
1799	1	0.6077424159389021
2745	1	0.5600188851046959
1939	1	0.600715235124822
852	0	0.6461996424838747
1467	0	0.6220132767097634
2595	1	0.5676489647392928
2112	1	0.5923125388852875
2262	1	0.5848822195219762
796	1	0.6482342553397891
987	1	0.6414775324491044
3376	1	0.5269523223752695
2213	1	0.587086944628333
230	1	0.6648416540556521
1889	1	0.6031952005192796
50	1	0.6692777476727358
430	1	0.6590189078927895
3113	1	0.5420528232576204
1010	1	0.6406409354603189
2848	1	0.5542661087429955
4761	1	0.37502582273696694
4391	1	0.4371711148785918
4510	1	0.42262464386893545
4956	1	0.26943264986547694
4988	1	0.15999473066553513
4982	1	0.21971333629448908
4937	1	0.2891547324772296
4817	0	0.3602611421448319
4781	0	0.36964627645889764
4634	0	0.40196519685585763
4200	0	0.4599927275449419
3759	0	0.49979044751963425
2776	0	0.5583735798771826
352	0	0.6613142504320942
2127	0	0.5916105964313486
182	1	0.6660327145950078
663	0	0.6526241784309721
3559	0	0.5149658528877766
3946	0	0.48357030715677857
1888	0	0.6032434091438592
2558	0	0.5695001971028759
1363	0	0.62649431886642
2497	0	0.5725905150895401
1114	1	0.6365501394326774
1960	0	0.5995821416348447
4557	0	0.4157081496934272
4749	0	0.37801425404641625
4575	0	0.41255871602568306
4034	0	0.4764611145602098
1278	0	0.630379606218051
1372	0	0.6261689336793318
4507	0	0.4228862678157553
4274	0	0.4513482158321469
4421	0	0.43353861715268516
3418	0	0.5244693883747604
3645	0	0.5090985069358848
873	0	0.6457264076420572
3164	0	0.5392285063625342
1165	0	0.6351303643540831
1658	0	0.6139988937532159
4651	0	0.39990806620003627
4609	0	0.4076296138459737
2840	0	0.554591502964045
3963	0	0.48245170756096484
4610	0	0.40754586785380487
4092	0	0.47135036863574453
2808	0	0.5564692613645995
3833	0	0.4934430523026549
1437	0	0.6236251258918918
287	0	0.6631081047339995
1129	0	0.6362371946228454
3123	0	0.5411162790669138
911	0	0.6442894623705735
1833	0	0.6060491047658335
4493	0	0.42440737882774754
4272	0	0.4515352394794822
3112	0	0.5420630826214886
1584	0	0.6175186104583085
2567	0	0.5692463160181814
1141	0	0.6358901870371663
1647	0	0.6145938578252785
3735	0	0.5016819869449985
1616	0	0.6160660582828812
3080	0	0.5439627823111176
713	0	0.6510983851805874
1292	0	0.6297957713992209
4482	0	0.4257103501477424
4278	0	0.45078875683879494
1274	0	0.6304557368943727
4072	0	0.47352818847262584
2140	0	0.5911316670004557
270	1	0.6635592347199258
2064	0	0.594639872063911
3969	0	0.48212384744283293
4290	0	0.4492506200800603
4089	0	0.4717255269638962
3948	0	0.4834148607761028
750	0	0.649980876346553
3557	0	0.5151691597344527
533	0	0.6562978362981802
2653	0	0.5646732139572597
332	1	0.66177908866619
832	0	0.6472725395365817
4085	0	0.4721801545982427
4097	0	0.4708388951048259
3478	0	0.520804402148446
3882	0	0.48943590234612794
3737	0	0.5014472878964696
1852	0	0.6051259645786279
3614	0	0.5113662132301067
1406	0	0.6249116760404589
2704	0	0.5619447351587421
1992	0	0.5982933271813727
1104	0	0.6371136955231061
11	0	0.6702885695465446
142	0	0.6669177935870877
1645	0	0.6146227948748688
60	1	0.669066826152718
774	0	0.6493637787653797
2549	0	0.5699110990991775
803	0	0.6479481253895261
2480	0	0.5733652393011911
664	0	0.6526034070477478
2122	0	0.5919192837693207
427	0	0.6590280016549313
1764	1	0.6096949373685266
3793	0	0.49690517072948664
410	0	0.659449166307456
3193	0	0.5376198469055499
2979	0	0.5488173717124011
2525	0	0.5709700202122758
1231	0	0.632207961163482
2317	0	0.5825959435726836
2564	0	0.5693328184882458
2170	0	0.589791191864558
844	0	0.646644919893054
94	0	0.6680688748161068
166	0	0.6665261038672915
2077	0	0.5938589531122415
2175	0	0.5893643679600282
253	0	0.6638704264595405
818	0	0.6476641272773687
3159	0	0.5393050673062194
1056	0	0.6388955399982654
2000	0	0.5979554492513621
4793	0	0.36653031299865685
4588	0	0.41058378111075083
2065	0	0.5946076778536873
4245	0	0.4558534338607886
