strain	location	time
$2354	0	0.0
2351	54	0.0730636783587893
2349	138	0.07545913730763193
2340	138	0.17268462103407337
2323	138	0.2289175368526727
2275	138	0.28322281199704386
1024	64	0.7292987607461122
2230	138	0.3222655238468263
921	64	0.7510217029029297
1007	64	0.7327305139646922
2294	0	0.26257152560933267
2220	166	0.33202656218668886
1204	64	0.649938847454747
2121	46	0.4094227924494441
96	195	0.8084768355537204
262	195	0.8021258916473358
2229	1	0.32296647948121404
2149	86	0.38954591016357776
1548	86	0.5655620530259167
433	64	0.7938308939654388
533	195	0.7879519807945528
1867	151	0.5187579262201371
844	195	0.7610867878236349
1076	64	0.7074749036263587
2195	0	0.36027022648825996
1508	64	0.5718571351733976
2189	0	0.36361066629651023
214	195	0.8041120361894094
948	195	0.7460329030058813
2324	138	0.22700963470030067
2177	138	0.3706463536595575
243	132	0.8029019402149586
1565	64	0.5642883729253911
2302	138	0.2515739788268673
2262	0	0.29579844761541546
2197	0	0.359467573161493
722	64	0.7734116492119237
963	64	0.7424063918649588
2249	0	0.3061587167233279
2093	0	0.4366498449492602
1225	24	0.6435213135740646
119	195	0.8077783296820853
824	195	0.7635938518870524
1994	0	0.48607991533701705
273	195	0.8016444132105499
475	64	0.7910171621762843
2165	0	0.3801430774931402
530	195	0.7880998308311753
730	208	0.7727926285104066
2297	138	0.259015323041888
2267	187	0.2921552573641155
2151	87	0.3886464024983024
754	64	0.7706836990579466
1182	195	0.6588333871820914
135	30	0.807039934460508
701	64	0.7748485591567311
2169	187	0.3755481990253239
17	64	0.8116150419900409
66	64	0.8097888080943155
2280	138	0.2775622067962632
2232	138	0.321559909483292
2117	11	0.4128728193344831
255	64	0.8024071613123765
1520	195	0.569629280615837
2231	138	0.3221345817879195
312	195	0.799254171429267
2223	138	0.32770828047348705
2087	57	0.44327224556269273
2023	62	0.4738705290833463
1893	195	0.5134157716013684
1421	93	0.5892618891039352
962	133	0.7427476443882539
454	195	0.792366394576185
596	195	0.78354235809312
1014	195	0.7312963296084656
1786	147	0.5339588174485526
117	64	0.8078771522849834
1371	133	0.6001671807212169
93	195	0.8086331617716622
940	195	0.7477211250785796
1993	62	0.4861329619444423
1471	195	0.5794447194319101
432	195	0.7938331808539606
691	195	0.7753401342839296
1976	62	0.4910597451095334
1705	138	0.5464511759457806
111	64	0.8080010993927845
1447	0	0.5832527656192665
311	62	0.7992861706670926
1113	86	0.6935529320661336
149	64	0.8064761818576268
219	86	0.8038860141367359
1953	62	0.49657588606284114
1798	62	0.5314493246379726
297	195	0.799926529579571
1641	62	0.5548066007099568
130	64	0.807210924573705
157	64	0.8062725416878905
1935	16	0.5034959895543865
1898	137	0.5120613611761144
1812	137	0.528534510798717
236	195	0.8030760642793708
1665	137	0.5520184912018462
1439	138	0.5860759389637247
118	132	0.8078200804985546
557	64	0.786508251871572
1570	138	0.5638654380273146
1226	139	0.6432656263164407
889	195	0.7553479367654717
1162	139	0.6683563070103082
21	195	0.8114045917760802
925	195	0.7505814699690679
1564	138	0.5643280301739831
695	64	0.7752592796256186
972	195	0.7406375441876819
1871	115	0.5174270425911415
979	195	0.7391512689358414
1826	70	0.5265813571493753
1018	195	0.7302431861322506
406	195	0.7951923521351615
413	64	0.7948384703045628
1067	195	0.7120835761055543
1924	16	0.5062915316921752
1717	138	0.5445117606331926
1050	64	0.7197270278557962
1703	0	0.5464946533766373
1475	64	0.5784673256629332
1599	86	0.5602065373764944
25	64	0.8111495463253117
332	64	0.7983943146055202
1734	35	0.5426019512080126
1163	64	0.6668993847115644
1382	193	0.5982217760576851
981	195	0.7383014582695293
1246	40	0.6366964854477952
513	195	0.7888437800249551
861	132	0.7585281389690965
2084	57	0.4453934969912842
1868	57	0.5184757970252342
521	132	0.7885674194107609
1837	57	0.5240109829453186
1609	117	0.558977966476163
840	64	0.7615048768550952
1088	133	0.7024072637613763
554	195	0.7868077130058663
583	64	0.7842471899610081
1799	57	0.5314086043271226
1518	0	0.5700545665233454
438	64	0.7933893629470664
1286	192	0.6235935167988077
98	86	0.8083879334768471
191	195	0.8049700462104107
1791	57	0.5325192553483314
310	195	0.7993218130086359
1597	57	0.5607913536315849
1470	62	0.5795123654087656
725	64	0.7731519115163356
1352	195	0.6044470497142089
806	195	0.7654311286260644
970	64	0.7408749006774018
1492	151	0.5752827792929519
220	195	0.8038542068033074
523	195	0.7885003579538291
1899	78	0.5118906959429176
1779	83	0.5355653073794866
116	195	0.8078801343954249
1322	30	0.6127766042813217
200	195	0.8046941017027519
1298	195	0.6194526674624682
112	64	0.8079830662729449
241	195	0.8029491490364215
1856	86	0.5202358135734508
764	195	0.7695983804815395
1720	86	0.5442926308243592
1360	199	0.6027923962598004
228	195	0.8034592835193125
592	195	0.7838337273952506
1708	86	0.5460466051576499
1366	129	0.6014763352229959
139	64	0.8068363034593726
585	64	0.784232070907424
1459	0	0.5809436087329393
1091	195	0.7009345873540689
1416	0	0.5900250816398255
1004	151	0.733196551460739
1330	83	0.6102069461023278
250	195	0.8025611565567238
813	195	0.7647216527053722
2219	138	0.3338089996331617
292	132	0.8003237393778406
2196	138	0.3595642109468534
2065	138	0.4578643301584097
868	195	0.7577408287733197
1584	138	0.5616870691463874
26	195	0.8111443938521201
974	64	0.7395454347828276
2153	206	0.3868012512314894
564	86	0.7857505039670921
1677	64	0.5494934312350873
2250	86	0.30530575973649665
802	195	0.7657135510716457
2202	0	0.35512003820135185
415	64	0.7947849086913198
721	195	0.7734292891461638
2347	35	0.09956820003199389
2064	138	0.45823467869115075
1016	64	0.7307124403559506
1082	64	0.7050915003523571
2346	35	0.10924281712279184
2338	0	0.17587756894813178
2315	0	0.23374099389557682
2300	0	0.25581559676974397
365	195	0.7966320860244779
2246	0	0.30926197521614623
2226	24	0.32406530624708374
548	206	0.7870459140488869
2168	133	0.37787211163625234
916	195	0.7519333738927219
2103	133	0.4257689053145606
2068	195	0.45467629887644434
2050	195	0.4646014471513763
2036	195	0.46802123881294416
146	195	0.8065315084908252
2009	195	0.47939599757879436
1477	30	0.5782109915889773
532	64	0.7879754763999843
1334	195	0.6094729562738916
163	195	0.8061442831135421
1148	195	0.6741597062006255
1986	195	0.4892257041559636
1044	195	0.7204338571664289
1902	195	0.5114542132978754
181	195	0.8052764429173215
1874	41	0.5164996933711713
1746	205	0.5408242821011991
589	195	0.7841239253409952
1628	194	0.5562624154273852
751	64	0.7709820771372852
1222	62	0.6455604828393015
257	64	0.8023486132824321
1036	58	0.7244136327798593
1836	41	0.5241004832911924
1770	133	0.5367816442208875
604	37	0.7827209594351539
1750	133	0.5405387532101884
120	195	0.8077734273563809
1612	24	0.558931217624387
22	37	0.8113531533706569
53	195	0.8103261763667078
1833	41	0.5250509522068215
798	64	0.766216786240311
1644	81	0.5545287801404524
1037	64	0.7237333829408554
685	195	0.7759217031262923
770	64	0.769199678607992
1567	81	0.5640957431408337
1358	81	0.603110601751024
518	195	0.7886824844775486
538	195	0.7876998623596282
1491	133	0.575570639382239
657	64	0.7784542521840297
1310	133	0.6157691506457152
1251	195	0.6358591025502172
1302	133	0.6188264496066885
828	64	0.7632261336127119
1217	133	0.6467472970546431
368	195	0.7964641866370388
422	195	0.7944649067353743
2046	195	0.4654163419393848
1958	133	0.4958732607530389
1600	133	0.5598526078021258
1306	24	0.6171203706725755
