,AE,AF,AG,AI,AL,AM,AO,AR,AS,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GT,GU,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PR,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VG,VI,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
AE,0,5.6140354215,11.5316165505,15.9021657244,10.1784706203,7.7695295183,7.3195905084,9.1306653784,13.8466655144,6.3448026671,4.5125516572,10.6022815013,6.98593108,11.6215981422,10.7444198781,5.1419772845,7.2864306941,11.8039128298,8.7826889297,4.6595248341,10.9555706572,11.8527493944,14.1146908504,11.1861180918,7.3554059213,11.9624422347,13.7641869167,6.3612901051,9.819692844,9.868675601,9.4165382584,8.5455909089,11.4765479702,7.0355087317,14.2564719389,10.8681011422,14.0739016067,11.1598287179,5.6703126131,9.9474452346,11.9665412734,10.3542034683,11.5333323846,4.9217055529,9.8425823882,10.0073576808,11.3979173336,11.649453694,11.7320441364,12.2752053787,7.3253286839,6.9016348125,4.3288880283,8.1989955984,7.0769015678,14.5711301842,9.2226861704,7.0850890225,10.8965103694,11.5740010155,4.9400737978,8.329471648,6.0424710685,6.0839851024,8.8261440857,9.2400955091,17.8995691505,15.327843318,13.0009334477,5.1095505704,11.445880657,3.7540861206,13.1847735233,8.054718101,12.1501929723,7.1700372328,10.9503777938,13.4705621212,12.2089318878,9.6634658482,10.6631350496,10.6967181235,6.8444587565,10.7304563503,10.4675649343,13.3886303179,13.0440040965,5.6736753868,10.9662372715,9.9892458474,10.7886982752,9.7675808872,5.5576540065,6.3098303296,10.0013947926,3.0984580028,5.3466508043,5.103935118,10.4779634473,5.0785637438,9.7297064532,5.3518296354,5.9279739818,5.9727130267,8.2803304236,9.5245711027,14.1500399629,12.3607881651,12.7087299367,12.9166631672,6.1717934735,4.4389715773,10.98503918,6.7517549635,10.0854519223,5.3948124494,11.5458803819,5.382195772,10.8959550788,11.5452694287,10.3631310567,10.7313346005,10.3889204774,7.6240673565,6.6253374206,12.7115976186,10.9231958377,10.7663486103,14.0963284011,10.5644089394,14.0494313446,8.8578721404,11.5875056884,9.2439360417,11.7495306776,9.641140977,12.2215230667,10.7745029423,12.469852978,16.7330715089,9.2745639914,6.3870280289,6.1344506021,10.9211902418,7.7750453498,5.3614526613,9.1018861335,9.1381373588,10.8922163365,11.7666053861,11.9233846951,6.1085938089,11.3164621492,5.707219425,8.7564288809,6.0696538969,14.2688338461,14.4984065124,7.1463026167,4.7161371647,9.9638703109,10.3658250587,10.5992166381,9.8107200187,5.310013568,4.0757241372,7.6107684751,15.4197903869,8.87933,7.2415263591,12.9480556486,11.3457602683,4.0345334569,8.7567594501,7.9762349478,7.8776375945,5.0627922539,8.4003096104,3.482797843,11.6181709434,6.3893009773,6.1162013977,7.9959040902,5.4675897948,11.8595418867,10.9243526569,11.764639235,8.1941536344,8.073655534,12.1518383536,8.6615346767,12.3636051684,10.3425764064,11.2822574193,7.9190684288,11.315946484,11.4150134721,10.0043924676,11.1463524088,4.6914462594,8.5576191302,11.9553318564,7.8766466123,7.2823676706,12.5540460408,5.4753863357,11.0520731987,15.5803684411,8.163953367,7.2353350368,6.1824775002,7.4354437278,4.5934130473,10.8894880296,8.0239697549,14.3209435913,10.5754708835,13.5671595567,10.7792834587,7.0313671448,10.6551190423,14.9601919452,11.8884858813,6.4356257886,12.3160250096,5.2623767924,7.2366485774,8.9556518495
AF,1.5480738402,0,13.0796903907,17.4502395646,10.1733162618,9.3176033585,8.8676643486,10.6787392185,15.3947393546,5.3694337877,6.0606254973,12.1503553415,8.4758815275,9.5071972226,12.2924937182,6.6900511246,8.6107882451,13.3519866699,10.2102388869,6.2075986743,12.5036444974,13.4008232345,15.6627646906,12.734191932,8.9034797614,13.5105160749,15.3122607568,7.9093639453,11.3677666842,9.53938085,10.9646120986,10.0936647491,13.0246218103,8.5835825718,15.8045457791,11.1514038517,14.9386862934,12.707902558,7.2183864533,11.4955190747,13.5146151135,11.9022773085,10.845939475,6.4192559122,11.3906562283,11.555431521,12.4865944028,13.1975275342,13.2801179765,13.8232792189,7.3282944383,8.4497086527,5.8769618685,9.7470694386,8.624975408,16.1192040244,10.7707600106,8.6331628627,12.4445842095,11.3587479129,6.488147638,9.8775454881,7.5905449087,7.6320589426,9.5613910187,10.7881693492,19.4476429907,16.8759171581,14.5490072879,6.6576244106,12.9939544972,5.3021599607,14.7328473635,8.8244020962,13.6982668125,8.7181110729,12.498451634,15.0186359614,13.757005728,11.2115396884,12.2112088897,12.2447919636,8.3925325967,12.2785301905,12.0156387744,14.9367041581,14.5920779366,7.2217492269,12.5143111116,10.4055194485,12.3367721154,9.9192193711,7.1057278467,7.8579041698,8.4835706253,2.7691632518,6.8947246444,3.7897026249,12.0260372874,6.6266375839,11.2777802933,6.8999034756,7.4760478219,7.5207868669,9.4617975683,11.0726449429,15.6981138031,13.9088620053,14.2568037768,14.4142135265,7.7198673137,5.1348009363,12.5331130201,8.2998288036,11.6335257625,6.9428862896,13.0939542221,6.9302696121,12.4440289189,13.0933432688,11.4861562292,11.0292069709,10.2319280515,8.8443501843,8.1734112608,14.2596714588,10.1625605682,11.1533383627,15.6444022413,12.1124827795,15.5975051847,9.8800154235,13.1355795286,10.2691327691,12.8525132364,11.1386913363,13.7324842225,12.3225767824,11.4274803781,18.281145349,10.8226378316,7.935101869,7.6825244422,12.4692640819,9.3231191899,6.9095265015,10.6499599736,10.686211199,12.4402901767,11.5857829833,13.4714585352,7.656667649,12.8645359893,7.2552932652,9.3604349303,7.617727737,15.8169076862,16.0464803525,8.6943764568,6.2642110048,11.511944151,11.9138988989,12.1472904782,11.3587938589,6.8580874082,4.2370592868,9.1588423153,16.9678642271,10.4274038402,8.7896001993,14.4961294888,12.8938341084,5.582607297,10.3048332903,9.079823546,8.9861098468,5.5125346313,9.9483834505,5.0308716831,13.1662447836,7.9373748175,7.6642752378,8.8317214428,6.280393306,10.3941804802,10.804327225,13.3127130752,9.7422274746,9.6217293742,13.6999121938,10.2096085168,13.9116790085,11.8906502465,12.8303312594,9.1490967922,12.8640203242,12.9630873122,11.5524663078,12.694426249,6.2395200996,6.9884411511,13.5034056965,9.4247204525,8.8304415108,14.102119881,3.3609854161,12.6001470389,17.1284422812,9.6615037263,8.783408877,7.7305513404,8.983517568,6.1414868875,12.4375618698,9.572043595,15.8690174315,12.1235447237,15.1152333968,12.3273572989,8.5794409849,12.2031928824,16.5082657853,13.4365597214,7.9836996288,13.8640988498,6.8104506326,8.7847224175,10.5037256896
AG,7.1817421126,12.7957775341,0,5.3669693969,11.1392875555,13.2184274103,12.2758598589,8.5975383298,11.985322828,8.7373259066,7.95582785,8.7409388148,10.84165987,13.5623467252,3.8118926936,11.4182467715,8.4342171876,15.452523329,9.1277762148,9.9322029914,14.9291078105,14.5814848477,6.3939256966,9.3247754054,14.2805725854,10.989265883,8.1212534622,7.333406493,7.9583501575,14.7824964727,12.9199998817,12.6072899713,9.6152052837,4.0489312172,17.6997481318,14.3852901719,16.7962202678,14.0878126426,7.2030975574,13.2752913287,12.8875439741,9.1621000968,13.5510948952,7.5705312405,7.9812397017,8.1460149943,8.4113398191,10.6273772155,7.3193035962,15.7184815716,8.1686276758,8.7066969702,6.3507919078,15.380737711,7.8949865564,3.7918491051,3.8076558716,10.794888619,9.0351676829,11.0496469802,8.2285550061,15.1448264849,5.5390875616,10.6895161545,9.0422448811,10.7253608211,16.707465779,13.8939748644,13.8190184363,6.6223357113,14.1096947556,2.7320096421,5.1815661735,12.8795515988,11.1046252109,10.4978833269,9.9283013154,14.2886471098,11.8179442767,14.4335610913,5.0878956989,13.9067604909,7.539015988,8.8691136638,9.5767616395,14.6043249977,7.5722353879,8.1806804914,9.104894585,9.0782960129,8.9273555887,8.7455044087,11.5372408909,6.5499243421,8.6852854529,8.0122788744,12.5283929169,11.708072764,9.3243909105,6.0393806789,4.8393959158,10.1141315641,6.6694708143,9.9462501801,13.3476780847,13.1610867656,13.4848431959,17.5504132298,3.0662060681,15.5654888548,7.5011721562,10.0336118175,9.1236964935,11.7161869628,14.5369131586,10.3181032331,3.4732201659,10.5113110131,13.9713610836,15.0487310519,9.3410545782,9.709258122,9.5744619788,10.8929024678,9.0765967802,14.2243827596,12.5476328979,13.4749437613,8.5210890505,13.8859669491,12.1880886581,11.734113179,14.2211741726,13.7903121756,13.7680694547,12.2899666647,13.0886678604,7.5302999732,14.3521198062,5.2014549584,8.8979447891,10.7946511273,11.3280281081,14.4246518651,5.9137026633,9.5021280067,12.6053477567,12.6415989821,13.7961814154,14.6260078187,15.3666608879,9.3899497884,9.4551194627,6.7940386146,7.7343524024,12.9398270287,17.7121100389,16.6441272216,9.2920233259,10.9598981754,7.4627143235,8.5044823722,10.0213312397,13.2539962116,10.0747004793,9.3643887832,7.324495571,12.4332128725,4.2188113716,7.3152146669,14.4440356415,11.7466643191,8.9333307011,12.2349217097,9.1865128127,10.8274291678,8.6997586613,13.7915219552,9.4439459549,15.0614471363,13.5710430899,12.9633502645,7.9332481107,8.6663787851,10.9731624645,9.9022761784,11.5659744115,10.6261302134,15.0277143808,9.2044287209,14.3535811973,14.7077759616,8.4812337199,4.0178111507,14.0679281317,14.8194081073,9.5536707856,15.1087751628,14.4277083884,9.2378223934,13.1380035226,15.3986080492,11.3097578524,9.3700902974,14.8263039866,7.4161349186,4.8005739219,17.0656337532,8.4317203894,12.759212769,10.1798220253,12.0101492901,2.7320703608,10.9805005105,12.3084557385,7.3884164069,8.714128197,8.0716696134,7.4306625816,11.5543621341,14.0983952351,16.611105393,13.2397207378,13.6173679012,14.9202573052,8.7658384157,12.2039307791,12.4591134727
AI,8.968362501,14.5823979225,2.22403167,0,13.3633192255,14.3562978043,14.2542106826,9.5699311786,12.9577156767,10.9613575766,8.9282206988,8.452024138,13.06569154,15.7863783952,6.0359243636,13.6422784415,9.7853986684,14.9429446205,11.3518078848,12.1562346614,17.1531394805,14.0719061392,3.6170412923,10.2971682541,15.2529654342,11.9616587317,6.7278064326,8.3057993418,8.9307430063,16.8456473133,15.1440315517,14.8313216413,10.5875981325,6.2729628872,18.6721409806,14.5485173059,16.2866415593,13.5782339341,9.1804839242,13.0329527142,13.8599368229,10.1344929456,13.0415161867,8.5429240893,8.9536325505,9.1184078431,10.6353714891,12.8514088855,5.9258565665,16.6908744204,10.3926593458,10.9307286402,7.6356376691,16.4111902882,8.5443156389,6.0158807751,6.0316875416,10.2853099105,10.0075605317,13.2736786503,10.4525866761,17.297834149,7.7631192316,11.6619090033,11.2662765511,11.6977536699,17.6798586278,14.8663677132,14.4683475188,6.1127570028,13.6001160471,4.9560413121,7.4055978435,15.1035832688,12.8537332183,12.1401508533,12.1523329854,14.9379761923,14.0419759467,14.6605888175,6.8370037064,15.7795108908,9.763047658,9.8415065126,10.5491544883,16.7929997457,9.7962670579,9.1530733402,10.0772874338,11.3023276829,8.0470963467,10.9695360787,12.5762117231,8.7739560121,9.6576783017,10.075429715,14.3150133053,13.7309666881,10.2967837593,8.2634123489,7.0634275858,11.4004786392,7.6418636631,12.1702818501,14.4855484787,14.1334796144,14.4572360447,17.2177923232,5.2902377381,16.5378817036,8.473565005,11.5078026415,10.0960893423,13.9402186328,15.5093060074,12.4350149408,5.697251836,12.7353426831,15.3797865081,17.2727627219,11.5650862482,11.933289792,11.7984936488,13.1169341378,10.0739692463,13.714804051,14.7716645679,14.7596405226,7.5632517699,13.3763882406,13.1604815069,13.958144849,13.7973363846,15.1848885218,14.7404623035,13.2623595134,14.0610607092,9.2794079806,14.5361067421,7.4254866284,11.1219764591,12.5532391416,13.5520597781,16.6486835351,6.8860955121,11.7261596767,14.8293794267,14.8656306521,14.7685742642,14.1164291102,16.3390537367,11.1913865762,10.4275123115,8.4487722432,9.9583840725,15.0029778693,18.6845028877,17.6165200703,10.2644161747,13.1839298454,7.8514431084,9.476875221,10.9937240885,14.2263890604,11.0470933281,11.5884204532,9.548527241,14.6572445425,2.9768883716,9.5392463369,15.4164284903,12.7190571679,10.329348003,11.7253430011,11.4105444827,13.0514608378,9.8376290553,15.4462555838,11.1520893598,16.0338399851,15.3576634783,15.0845638987,10.1572797807,10.8904104551,13.1971941345,12.1263078484,13.7900060815,11.5985230622,17.042018035,10.3456231766,16.5776128673,16.9318076316,9.4536265687,2.624364121,16.2919598017,17.0434397773,10.5260636343,14.5991964542,14.143613036,11.4618540634,14.2758739167,16.371000898,13.5337895225,10.8093354784,15.7986968354,9.6401665886,7.0246055919,18.0380266019,9.4041132382,14.983244439,12.4038536953,14.2341809601,3.7044632096,11.9528933593,13.9533913709,9.6124480769,8.5793189697,6.6782225837,2.2138550636,12.5267549829,15.0707880839,17.5834982418,14.2121135866,15.4039882896,14.4106785967,10.9898700857,14.4279624491,14.6831451428
AL,6.4130455521,10.4720946491,11.7606703304,17.1276397273,0,10.3494527291,11.7076109163,8.2160859662,15.1639636706,3.5663891738,10.9255972093,11.9195796575,8.6814792078,9.7127949029,10.973473658,10.5665830012,4.9820007624,12.3311617524,8.0564833774,10.3694052152,12.4207611578,12.2397050941,14.8437810611,12.3532846681,13.7684514734,12.301650298,13.7342524921,7.6400851289,11.1369910002,16.0336267311,14.1711301401,9.5396691124,12.7938461264,7.6576909469,20.669517491,11.357001532,14.7812425096,12.0728348845,5.9918300893,11.5275536645,16.0661848168,10.9451819363,11.0515371553,7.6387050335,10.7724257035,11.324655837,8.9597395893,11.1498012283,12.0236840896,18.6882509308,7.5338921185,6.1892135048,4.3496559066,11.6231764854,6.6859159609,14.8001839641,9.9370132255,8.3810392632,11.3665021584,10.0449583898,7.2769811584,11.8309832408,4.6479404899,8.8691209706,7.6230084714,13.9040016638,17.4660432395,17.0726157071,12.6099478408,4.6073579532,12.0947169974,3.9831399005,14.5020716795,9.0299997765,11.6480003551,11.0038605392,11.1794315738,13.0795765143,11.9912362861,13.1551897679,10.1609424323,13.0156134191,3.8321184748,12.0477545065,12.2752199244,13.9715198672,14.3613022527,8.0592481623,11.9685746219,8.7565991905,12.1059964314,7.1683925273,11.4625571383,6.9742838991,7.2628871258,9.2634091328,8.8573062601,8.2101753461,10.7070172272,1.421151195,11.0470046094,8.9052818233,7.7356289719,10.039452526,9.6673952486,13.2361969113,16.6634840386,15.0846133573,14.0260280929,15.3303014326,9.3483855981,9.3823905843,12.3023373362,9.4029230742,13.7970777309,8.5739781561,11.7749341619,9.5955384036,13.8743874585,16.2998613103,8.4250168282,8.5149358738,8.2149721165,9.0499478645,6.6929779945,12.2094050014,7.9294034141,9.24581156,13.5941357839,10.7725863653,15.3667295008,9.0233803954,12.291937335,12.9555618502,13.513479614,12.3581404576,14.154826018,10.272310325,11.6330780583,16.9621252888,7.1574898188,10.6407132244,10.8031783244,14.2665815669,9.092343506,10.6213258745,13.3811968044,12.4559371446,14.862339573,11.7913806635,18.3364302472,9.7588879213,12.6337603054,5.6772850004,7.5130133891,12.0907753147,20.6818793982,19.8227680642,12.4706641686,9.5400392942,11.2811684671,11.0826740309,13.1999720824,16.2237655708,11.7230591201,10.4887696893,6.6469098914,16.0419726022,10.1966281562,6.6824095363,15.9669282778,12.624555292,7.4022489469,10.2199439515,6.0500124344,5.9209495182,6.1735010089,11.2319354047,8.1167372985,18.0312164955,12.8023465294,11.023142693,7.0851882841,8.5916950325,4.9968462466,8.5949363809,12.8171046699,10.4414918,14.1189588853,12.121903929,13.9219554132,14.074970831,11.6598745626,12.0113476299,13.0176418749,16.0705383657,12.7323116282,13.0937974046,12.6382139863,8.403072068,10.6117458703,16.6355056295,10.2197620436,7.3696364129,18.0049448293,3.5665830963,12.3693713549,20.2442745958,10.5517156548,9.9009148115,7.5299673504,13.2299182344,5.9107112035,12.0052135694,9.8857268147,14.5499973713,8.9866112468,14.8844577129,12.0965816149,11.2964191045,17.0681645944,18.9303151817,16.4183615805,11.3360157675,12.9052795471,10.0169686741,13.4550610375,13.4357073899
AM,3.8918625304,9.5058979519,13.7449572182,17.4086054619,10.2479795081,0,11.2114530388,11.6214961263,15.353105252,4.1844209899,8.4044141875,12.1087212388,6.1146244959,10.4091764746,13.0077866037,9.0338398148,7.6408786403,13.6783257428,6.5336821972,8.5513873645,14.8474331876,12.8072872616,15.0845612331,12.6925578294,11.2472684517,13.3418602121,14.9600221964,10.2531526355,11.3261325815,13.7605381314,13.3084007888,5.6320968997,12.9829877077,8.917280219,18.1483344693,13.0650535052,15.0220226816,12.3136150565,6.4417483804,11.7683338366,15.8584038037,12.1303072215,11.7768973091,5.5404014392,8.7322483117,11.5137974183,8.280666558,13.1163955075,13.2384838739,16.1670679091,6.4843731311,4.4806483568,4.6121592805,12.0908581288,7.4683678574,16.0972186603,7.7893779956,9.0206910329,12.1708552241,7.8178155481,6.4141049122,12.2213341783,5.688150404,9.9758476328,7.2702388281,13.1319580394,19.6756729036,16.5882120176,13.3923997372,4.8481381252,12.3354971695,6.0174528461,14.6912132609,6.6422591449,11.8887805271,11.0618997631,13.2137445194,13.8620284108,14.5855279187,13.3959699399,10.4017226044,14.0558233333,6.1606315837,12.2368960878,11.7279336339,16.0207863964,14.550443834,7.073265095,12.472677009,7.8381498455,12.2951380127,7.8052133152,9.4495165369,9.8353675462,6.2452093252,6.9903205331,8.7153662132,4.8210161378,10.8848735907,5.2086153025,11.2361461907,9.2436921658,7.1883426814,9.8645755571,5.95452621,10.6487628394,16.8526256199,15.9531734456,14.2151696742,10.4634072102,6.5075231018,8.3308341076,12.4914789175,5.9004236645,11.798615337,6.0021203148,13.6170089871,9.2740583024,14.1151676305,15.437131959,7.9584798908,10.8500816451,6.63273501,10.3830173842,8.8093503687,12.4501851734,7.1670103704,7.010163143,13.8349159559,12.111769363,15.5558710821,10.5010470474,12.532717507,10.9570994563,8.6465853916,10.2598368634,12.4500816321,10.5130904971,13.2714878645,18.9464121766,8.7140969342,10.2788905592,8.4903272238,14.8130527721,8.5775487363,9.2533151917,12.9937486638,12.7184405185,14.3150532825,12.8518102326,15.8152472254,10.0004563392,12.8229018867,6.9030547047,7.922463571,9.9615164272,18.1606963764,18.3902690427,11.0381651471,8.607999695,11.4318810325,11.8722647962,13.3891136637,13.7025825491,9.2018760984,7.9675866676,5.7449378991,17.3015618743,10.3857697376,8.7316760656,14.2121093753,15.1144467431,7.9263959872,10.4607241235,8.9728259008,7.569782584,1.3066067866,12.2921721407,7.3746603733,15.5100334738,10.2811635077,10.008063928,7.2438943221,8.264132349,8.8405979989,10.0864362823,14.8514176156,11.3937859655,11.9655180644,13.3476736333,12.553397207,16.1242373603,11.8490161439,12.2521278019,6.1705128489,15.2078090144,12.9214532096,13.3345775766,12.8789941584,6.4046096741,5.7448516479,15.8471943867,9.2859784774,7.5627432847,16.4459085712,5.2746350696,12.5585129362,19.4722309714,8.7826492534,11.1271975672,4.663859293,11.3273062582,6.0998527848,14.1826071508,5.4223691021,16.5843103169,12.0819106211,15.0735992942,12.2857231962,7.2421928612,14.5469815726,18.3830288911,15.7803484116,10.327488319,13.1460597191,9.1542393228,11.1285111077,12.8475143798
AO,3.3205115855,8.934547007,12.6493236869,17.1861497459,11.4832829356,11.0900411038,0,6.2566278599,15.1306495359,8.8591118075,7.2802577486,11.8448933684,10.3064426654,13.0016940079,11.6880791992,8.4624888699,6.8250867805,9.7535908878,11.2373529849,7.9800364196,9.8711645075,8.5341280066,14.7591458158,12.4701021133,10.6759175068,9.0884047162,12.772259622,3.4872525866,11.1036768655,13.1891871865,6.9138886154,11.8661024944,12.7605319917,7.6201817309,17.0241780304,4.5912343918,10.3019196318,5.4472020437,6.1308608573,9.749259399,14.7342473648,7.4801659498,8.5240645324,5.1663887455,8.3382179891,11.2913417023,5.6030207807,7.6333970285,11.0616912196,15.0429114702,10.3084112907,8.9506469853,4.846100536,8.7829444453,7.9251088652,15.5147895053,9.1916919331,8.6952756156,11.3916218963,12.0285102975,8.2605853833,11.6499832334,4.6730602278,4.0336631605,9.1754359148,12.0078016005,15.025531632,17.0393015724,13.8491407451,4.5227227079,5.8622366029,4.871793257,14.4687575448,11.3752296864,11.35704089,8.1897461344,12.0680849302,14.3187694186,12.0212546081,11.8139072326,10.0763071871,9.1392611508,9.5450363281,12.0144403718,12.7220883475,9.6338241309,14.327988118,7.3183184916,12.250221293,10.5064583551,12.0726822967,9.1190722929,8.878165592,6.9945881357,9.2242168386,6.4189695882,8.6671623898,8.4244467034,11.5956705837,6.3833760591,11.0136904747,8.6723412209,8.4660404844,5.184349498,11.600842009,11.1851156246,16.6301699039,12.7885125478,13.9927139582,13.1613463598,8.1322362964,7.7594831627,10.9127156165,10.0722665489,12.1969728142,8.7153240349,12.6635875183,8.7027073575,11.9156639804,9.0426197856,11.4808381931,8.2405294509,11.3388113305,10.944578942,5.828787878,12.1247697562,11.1212160671,13.1696062277,13.5095005387,8.9509122735,15.3334153661,12.1783837258,9.5371837465,11.9491225399,11.9942138702,9.8858241696,12.4796170558,10.1876750798,11.6733034354,17.8507786453,11.037728404,7.4130319788,9.4549621876,8.4185405987,8.6206201076,8.6819642468,5.4002275859,3.561949822,13.6599224279,11.6004440703,14.6910907865,5.926775124,12.6004461707,4.7152921303,8.342664343,9.3901654823,17.0365399375,17.2661126038,9.9140087081,8.0366487501,7.5877014442,7.9107862948,13.1666579477,12.5784261102,8.6305251535,7.3962357227,9.3162742293,16.0044633862,10.1633140215,2.3447138,15.7483392455,8.4717227497,7.3550450423,9.7827634001,9.3551866759,10.8463647418,8.3833038394,8.7955039498,6.8033094284,14.3858770349,9.0777183458,8.306505344,8.5577960743,8.0839903569,12.3767543943,12.0420597933,11.5888024953,8.0064763548,9.9371944361,11.1572447026,9.1894099287,5.0440146599,11.1705779788,11.9267123847,11.2395800142,8.813296841,12.6989974935,9.3411031443,9.4233474827,8.0119578449,11.8781307157,14.7230379478,11.1971581978,9.2193011835,15.3217521322,8.0943529415,12.3360572202,18.3480745325,8.4086365597,7.9973120869,9.5029890857,8.7749876004,5.8773970688,8.0154505111,11.3444813403,15.2646029124,9.0100382674,14.8511435782,12.0632674802,10.3518787302,13.4228251337,17.7278980366,14.6561919727,9.2789722403,11.5276614809,2.7597271493,6.8734784799,6.1499186753
AR,7.058782308,12.6728177295,10.9046054663,14.4399887526,9.9287540341,13.4432210986,8.1725630344,0,12.3844885427,9.1271420611,6.2523155091,9.0179224304,12.9899130294,13.2485329325,10.2968294823,12.2007595924,8.0392328078,13.1788610874,10.8294845362,11.7183071421,13.3541337576,13.1614517723,12.6525138787,9.7239411201,12.5770602445,5.1936177178,11.984373436,2.2241516935,8.3575158723,16.2724201792,10.3968578654,12.9473650749,10.0143709984,6.0603861673,15.9962357908,11.8621481555,15.3761871923,12.6677795672,7.9372197958,12.1224983472,13.0031823434,2.7290959701,12.1310618198,7.9696969552,5.2219423926,8.545180709,6.326828576,10.2617158427,8.8740536855,14.0149692306,10.751626496,9.9222386103,5.0929394607,15.2577779064,8.9894648582,13.7687704358,7.4840123507,9.3748555435,5.835829914,12.5564313249,10.6846771209,15.2386792033,3.672717418,11.0886818693,9.6501772725,10.9798593609,9.2499572734,14.2931405792,14.9134967381,5.2023026359,12.6896616801,5.3150084622,11.7225965516,13.3384335981,10.0939399969,11.5669237192,12.5113001355,14.9708661008,12.5700949327,13.7501344506,10.755887115,12.0403903473,9.6740624017,9.2682793785,9.9759273542,13.1262843937,11.5818271247,8.5798462062,9.5040602997,10.7532972798,9.3265213035,10.5760884898,9.9003065333,8.4086110676,9.0844511676,9.502202581,12.4054331123,12.162717426,9.7235566252,4.8288471576,8.2675294814,10.8272515051,7.068636529,10.733702867,13.572471773,13.5602524803,13.8840089106,16.3073379563,11.2465529649,15.9646545695,7.900337871,10.9345755074,9.5228622082,12.5708959266,14.9360788733,11.5245605739,10.6483922779,12.44097808,14.4693321412,12.5255890356,11.4865558151,10.6127830231,11.5856502552,12.499286379,8.9839542472,12.8043496841,11.3370993766,13.5642882856,14.1890804666,12.4338815235,12.5872543728,12.8031976401,12.8868820177,14.4499039571,13.2939602444,12.6891323794,13.4878335751,10.8672550077,12.4857496626,16.1060604246,10.5651857814,10.8960012289,13.1932329101,11.9015098487,5.2318400765,9.8467791387,10.0822057404,10.1184569657,12.6319801884,13.2059747433,13.6631485469,10.6181594421,9.8542851774,5.9655113495,8.7217219543,13.1284362048,16.008597698,15.5350475824,8.1829436867,11.7749194727,4.6517223961,3.6967744797,9.7475811521,11.5504838706,10.4738661941,11.1345064452,9.8355636298,14.4446678226,7.4171530283,5.8371740628,14.8432013562,4.5857875786,8.128906783,10.8148886342,9.457708397,11.0932036664,8.9245523495,12.2784731998,10.5415801509,13.3579347953,12.5606875958,13.1749837057,8.9344538622,9.0659512196,12.623593319,11.985302282,14.1489732317,11.0252959282,15.132437842,9.8941438096,15.1410338842,13.2165776943,8.6385336281,9.8200804475,14.9778507367,12.296266091,9.9528365003,13.6887420873,9.623287921,10.2347692807,13.3627972109,13.6950957083,13.8927566726,9.8988811114,13.7172243475,7.8750169179,9.5898962269,17.3201322929,8.8308861041,11.7365121529,10.9376633129,12.4405393222,3.1312360756,3.7891276032,13.0403146651,13.8733531955,5.1945358131,12.1049825849,9.3171064869,11.7705586296,12.3948828942,16.699955797,13.1776878669,13.4944080966,13.5002242298,6.2426963993,10.3564477299,9.9359714564
